Checklist	ERC000011	ENA default sample checklist						
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)	specimen_voucher	
#units								
156563	Cyanistes caeruleus	C_caer_19180418		museum sample	1918-04-18	Germany 	NRM 90183379	
156563	Cyanistes caeruleus	C_caer_19170110		museum sample	1917-01-10	Belarus	NRM 90183417	
156563	Cyanistes caeruleus	C_caer_NRM926041		museum sample	1992	Russia	NRM 926041	
156563	Cyanistes caeruleus	C_caer_NRM20016624		fresh tissue	2001	Bulgaria	NRM 20016524	
156563	Cyanistes caeruleus	C_caer_NRM20126772		fresh tissue	2012	Greece	NRM 20126772	
156563	Cyanistes caeruleus	C_caer_NRM956185		fresh tissue	1995	Sweden	NRM 956185	
156563	Cyanistes caeruleus	C_caer_UWBM56695		fresh tissue	1995-06-02	Russia	UWBM 56695	
156563	Cyanistes caeruleus	C_caer_UWBM74196		fresh tissue	2002-01-16	Russia	UWBM 74196	
156563	Cyanistes caeruleus	C_caer_UWBM83447		fresh tissue	1998-04-20	Russia	UWBM 83447	
156563	Cyanistes caeruleus	C_caer_X_cyan_BMNH_1898.9.20.37	Cyanistes caeruleus X cyanus	museum sample	1898	Russia	NHMUK 1898.9.20.37	
156563	Cyanistes caeruleus	C_caer_X_cyan_BMNH_1901.5.4.236	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.236	
156563	Cyanistes caeruleus	C_caer_X_cyan_BMNH_1901.5.4.298	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.298	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.300	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.300	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.302	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.302	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.303	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.303	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.304	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.304	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.305	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.305	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.306	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.306	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.308	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.308	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.309	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.309	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.310	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.310	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.316	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.316	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.317	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.317	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1901.5.4.349	Cyanistes caeruleus X cyanus	museum sample	1901	Russia	NHMUK 1901.5.4.349	
156570	Cyanistes cyanus	C_caer_X_cyan_BMNH_1965.M.15606	Cyanistes caeruleus X cyanus	museum sample	1965	Ukraine	NHMUK 1965.M.15606	
156570	Cyanistes cyanus	C_caer_X_cyan_R126337	Cyanistes caeruleus X cyanus	museum sample	1951-09-09	Russia	ZMMU R126337	
156570	Cyanistes cyanus	C_cyan_NRM555398		museum sample	1872-07-07	Russia	NRM 555398	
156570	Cyanistes cyanus	C_cyan_NRM571034	flavipectus	museum sample	1911-02-03	Russia	NRM 571034	
156570	Cyanistes cyanus	C_cyan_NRM90183419		museum sample	1872-07-26	Russia	NRM 90183419	
156570	Cyanistes cyanus	C_cyan_R-10667_Belarus		museum sample	1912-07-27	Belarus	ZMMU R10667	
156570	Cyanistes cyanus	C_cyan_R-84509		museum sample	1958-10-25	Russia	ZMMU R84509	
156570	Cyanistes cyanus	C_cyan_R37233		museum sample	1933-11-17	Russia	ZMMU R37233	
156570	Cyanistes cyanus	C_cyan_UWBM59700		fresh tissue	1998-05-22	Mongolia	UWBM 59700	
156570	Cyanistes cyanus	C_cyan_UWBM59870		fresh tissue	1998-05-21	Mongolia	UWBM 59870	
156570	Cyanistes cyanus	C_cyan_UWBM67558		fresh tissue	1996-05-26	Russia	UWBM 67558	
156570	Cyanistes cyanus	C_cyan_UWBM71045		fresh tissue	1999-06-03	Russia	UWBM 71045	
156570	Cyanistes cyanus	C_cyan_UWBM74931		fresh tissue	2002-05-01	Russia	UWBM 74931	
156570	Cyanistes cyanus	C_cyan_UWBM75044		fresh tissue	2002-05-10	Russia	UWBM 75044	
